artist,nominations,year_with_most_nominations,most_common_category,most_common_award_class
Alphabet Rockers,1,2019,Best Children's Music Album,album
Altin Gün,1,2019,Best World Music Album,album
Alvin Dinkin,1,1958,Best Classical Performance - Chamber Music (Including Chamber Orchestra),track
Amazing Rhythm Aces,1,1976,Best Country Vocal Performance By A Duo Or Group,track
Ambrosian Opera Chorus,1,1993,Best Opera Recording,track
Ambrosian Singers,1,1974,"Best Choral Performance, Classical (Other Than Opera)",track
America,1,1972,Best New Artist Of The Year,artist
American Symphony Orchestra,1,1965,Best Classical Performance - Orchestra,track
Amy Grant,6,1982,"Best Gospel Performance, Female",track
Amy Hānaiali’i,1,2019,Best Regional Roots Music Album,album
Amy Winehouse,7,2007,Best Female Pop Vocal Performance,track
Anat Cohen Tentet,1,2019,Best Large Jazz Ensemble Album,album
Anaïs Mitchell,1,2019,Best Musical Theater Album,album
And The New Main Street Singers,1,2003,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
Anderson .Paak,3,2019,Best R&B Album,track
Andrae Crouch,7,1975,"Best Soul Gospel Performance, Contemporary",track
Andre Previn,6,1958,Best Album Notes (Classical),track
Andrea Bocelli,1,2019,Best Traditional Pop Vocal Album,album
Andrea McCardle,1,1977,Best Cast Show Album,album
Andreas Vollenweider,1,1986,Best New Age Recording,track
Andres Segovia,1,1980,Best Historical Reissue Album,album
Andrew Bird,1,2019,Best Folk Album,album
Andrew Cornall,1,1994,Classical Producer Of The Year,other
Andris Nelsons,1,2018,"Best Engineered Album, Classical",album
András Fejér,1,2002,Best Chamber Music Performance,track
André 3000,1,2019,Best R&B Performance,track
André Previn,1,2002,Best Classical Crossover Album,album
Andy Griffith,1,1996,"Best Southern Gospel, Country Gospel Or Bluegrass Gospel Album",album
Angela Lansbury,3,1979,Best Cast Show Album,album
Angelique Kidjo,4,2007,Best World Music Album,album
Angelo Badalamenti,1,1990,Best Pop Instrumental Performance,track
Ani DiFranco,1,2003,Best Recording Package,track
Anita Baker,8,1986,"Best R&B Vocal Performance, Female",track
Anita Brevik,1,2019,Best Immersive Audio Album,album
Anita Kerr Singers,2,1965,Best Performance By A Vocal Group,track
Anita Pointer,1,1984,Best Vocal Arrangement For Two Or More Voices,other
Ann Reinking,1,1997,Best Musical Show Album,album
Anna Kendrick,1,2016,Best Song Written For Visual Media,track
Anna Wise,1,2015,Best Rap/Sung Collaboration,other
Anne Murray,4,1974,"Best Country Vocal Performance, Female",track
Anne-Sophie Mutter,1,2019,"Best Arrangement, Instrumental or A Cappella",other
Annie Lennox,3,1992,Best Female Pop Vocal Performance,track
Anthony Dean Griffey,1,2009,Best Choral Performance,track
Anthony Hamilton,1,2008,Best Traditional R&B Vocal Performance,track
Antoni Wit,1,2012,Best Classical Compendium,other
Antonio Sanchez,1,2015,Best Score Soundtrack For Visual Media,other
Aphex Twin,1,2014,Best Dance/Electronic Album,album
Apparat,1,2019,Best Dance/Electronic Album,album
April Stevens And Nino Tempo,1,1963,Best Rock & Roll Recording,track
Arcade Fire,2,2010,Album Of The Year,album
Aretha Franklin,21,1967,"Best R&B Vocal Performance, Female",track
Ariana Grande,6,2019,Best Pop Vocal Album,album
Arif Mardin,2,1975,Best Producer Of The Year,other
Arjona,1,2006,Best Latin Pop Album,album
Arlen Hlusko,1,2018,Best Choral Performance,track
Arlo Guthrie,1,1986,Best Contemporary Folk Recording,track
Arnold Schoenberg Chor,1,2001,Best Choral Performance,track
Arrested Development,2,1992,Best New Artist,artist
Art Blakey,1,1984,"Best Jazz Instrumental Performance, Group",track
Art Linkletter,1,1969,Best Spoken Word Recording,track
Art Neville,1,1996,Best Rock Instrumental Performance,track
Art Tatum,1,1973,Best Album Notes,album
Arthur Fiedler,1,1964,Best Album Cover - Classical,album
Arthur Hill,1,1963,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",track
Arts Seminar Mass Choir,1,1992,Best Gospel Album By A Choir Or Chorus,album
Arturo O'Farrill,4,2008,Best Instrumental Composition,album
Arturo Sandoval,3,1994,Best Latin Jazz Performance,track
Arturo Toscanini,1,1983,Best Historical Album,album
Ashanti,1,2002,Best Contemporary R&B Album,album
Ashley Cleveland,3,1995,Best Rock Gospel Album,album
Ashley McBryde,2,2019,Best Country Solo Performance,track
Asleep At The Wheel,11,1994,Best Country Instrumental Performance,track
Astrud Gilberto,1,1964,Record Of The Year,track
Atlanta Symphony Chorus,9,1985,Best Choral Performance (Other Than Opera),track
Atlanta Symphony Orchestra,15,1985,Best Choral Performance (Other Than Opera),track
Attacca Quartet,1,2019,Best Contemporary Classical Composition,other
Atticus Ross,1,2012,Best Score Soundtrack For Visual Media,other
Audio Adrenaline,2,2003,Best Rock Gospel Album,album
Audrey Hepburn,1,1993,Best Spoken Word Album For Children,album
Australian Chamber Orchestra,2,2013,Best Classical Vocal Solo,album
Avery Griffin,1,2013,Best Chamber Music/Small Ensemble Performance,track
Avi Kaplan,2,2014,"Best Arrangement, Instrumental or A Cappella",other
Aymée Nuviola,1,2019,Best Tropical Latin Album,album
Aziz Ansari,1,2019,Best Comedy Album,album
B.B. King,16,1970,Best Traditional Blues Album,album
B.J. Thomas,6,1975,Best Inspirational Performance,track
BBC Symphony Orchestra,2,1972,Best Classical Vocal Soloist Performance,track
BJ The Chicago Kid,2,2019,Best R&B Album,album
Babyface,6,1992,Producer Of The Year,other
Bach Choir,1,1963,Best Classical Performance - Choral (Other Than Opera),track
Bacilos,1,2002,Best Latin Pop Album,album
Bad Bunny,2,2019,"Best Latin Rock, Urban or Alternative Album",album
Baha Men,1,2000,Best Dance Recording,track
Baltimore Orchestra,1,1994,Best Instrumental Soloist Performance (With Orchestra),track
Baltimore Symphony Orchestra,1,1989,"Best Classical Performance, Instrumental Soloist (With Orchestra)",track
Barack Obama,1,2007,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Barbara Bailey Hutchison,1,1995,Best Musical Album For Children,album
Barbara Barrie,1,1970,Best Score From An Original Cast Show Album,album
Barbara Baxley,1,1963,Best Score From An Original Cast Show Album,album
Barbara Cook,2,1958,Best Original Cast Album (Broadway Or TV),album
Barbara Frittoli,1,2010,Best Choral Performance,track
Barbara Harris,1,1965,Best Score From An Original Cast Show Album,album
Barbara Mandrell,2,1982,Best Inspirational Performance,track
Barbra Streisand,16,1963,"Best Vocal Performance, Female",track
Barry De Vorzon,1,1977,Best Instrumental Arrangement,other
Barry Gibb,1,1980,Best Pop Performance By A Duo Or Group With Vocal,track
Barry Manilow,2,1976,"Best Pop Vocal Performance, Male",track
Barry Mann,1,1987,Best Song Written Specifically For A Motion Picture Or Television,track
Barry White,2,1999,Best Male R&B Vocal Performance,track
Bas,1,2019,Best Rap Performance,track
Basement Jaxx,1,2004,Best Electronic/Dance Album,album
Bayreuth Festival Orchestra,1,1982,Best Opera Recording,track
BeBe,2,2010,Best Contemporary R&B Gospel Album,album
BeBe Winans,1,1991,Best Contemporary Soul Gospel Album,album
Bea Arthur,1,1966,Best Score From An Original Cast Show Album,album
Beastie Boys,3,1998,Best Alternative Music Performance,track
Beau Bridges,1,2008,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
BeauSoleil,2,1997,Best Traditional Folk Album,album
Bebe Neuwirth,1,1997,Best Musical Show Album,album
Bebe Winans,2,1988,"Best Gospel Vocal Performance, Male",track
Bebo Valdés,1,2005,Best Traditional Tropical Latin Album,album
Bebo Valdés And Chucho Valdés,1,2009,Best Latin Jazz Album,album
Bebo Valdés Trio,1,2002,Best Traditional Tropical Latin Album,album
Beck,8,2014,Best Alternative Music Performance,album
Bee Gees,4,1978,Best Arrangement For Voices,other
Beenie Man,1,2000,Best Reggae Album,album
Belafonte Folk Singers,1,1961,Best Folk Recording,track
Ben Harper,3,2004,Best Blues Album,album
Ben Kingsley,1,1984,Best Spoken Word Or Non-Musical Recording,track
Benny Benassi,1,2011,"Best Remixed Recording, Non-Classical",track
Benny Carter,1,1992,Best Instrumental Composition,other
Benny Goodman,2,1984,Best Album Notes,album
Bent Fabric,1,1962,Best Rock & Roll Recording,track
Berlin Baroque Soloists,1,2005,Best Classical Vocal Performance,track
Berlin Philharmonic Orchestra,3,1969,Best Classical Orchestral Performance,track
Berliner Philharmonic,2,1999,Best Classical Vocal Performance,track
Berliner Philharmoniker,3,2007,Best Choral Performance,track
Bernadette Peters,1,2003,Best Musical Show Album,album
Bernhard Forck,1,2001,Best Classical Vocal Performance,track
Bernice Mass,1,1962,Best Original Cast Show Album,album
Bert Convy,1,1967,Best Score From An Original Cast Show Album,album
Bessie Smith,1,1970,Best Album Notes,album
Beth Howland,1,1970,Best Score From An Original Cast Show Album,album
Bette Midler,5,1989,Song Of The Year,track
Betty Carter,1,1988,"Best Jazz Vocal Performance, Female",track
Betty White,1,2011,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
Betty Wright,1,1975,Best Rhythm & Blues Song,track
Beyoncé,24,2003,Best Contemporary R&B Album,track
Big Daddy Kane,1,1990,Best Rap Performance By A Duo Or Group,track
Big Star,1,2010,Best Album Notes,album
Big Thief,1,2019,Best Alternative Music Album,album
Bilal,1,2015,Best Rap/Sung Collaboration,other
Bill,2,1999,"Best Southern, Country, Or Bluegrass Gospel Album",album
Bill Charlap,1,2015,Best Traditional Pop Vocal Album,album
Bill Clinton,2,2003,Best Spoken Word Album,album
Bill Cosby,9,1964,Best Comedy Recording,track
Bill Evans,4,1963,Best Album Notes,track
Bill Evans Trio,3,1971,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,track
Bill Frisell,1,2004,Best Contemporary Jazz Album,album
Bill Harley,2,2006,Best Spoken Word Album For Children,album
Bill Medley,1,1987,Best Pop Performance By A Duo Or Group With Vocal,track
Bill Miller,2,2004,Best Native American Music Album,album
Bill Monroe,1,1988,Best Bluegrass Recording (Vocal Or Instrumental),track
Bill Watrous,1,1986,Best Arrangement On An Instrumental,other
Bill Withers,3,1971,Best Rhythm & Blues Song,track
Billie Eilish,8,2019,Album Of The Year,album
Billie Holiday,7,1993,Best Historical Album,album
Billy Childs,2,2014,"Best Arrangement, Instruments and Vocals",album
Billy Childs Ensemble,2,2005,Best Instrumental Composition,other
Billy Davis,1,1976,"Best R&B Vocal Performance By A Duo, Group Or Chorus",track
Billy Joel,5,1978,Album Of The Year,track
Billy May,1,1958,Best Performance By An Orchestra,track
Billy Ocean,1,1984,"Best R&B Vocal Performance, Male",track
Billy Paul,1,1972,"Best R&B Vocal Performance, Male",track
Billy Porter,1,2013,Best Musical Theater Album,album
Billy Preston,2,1972,Album Of The Year,album
Billy Ray Cyrus,3,2019,Best Music Video,track
Bing Crosby,2,1977,Best Album Notes,album
Bishop T.D. Jakes,1,2003,Best Gospel Choir Or Chorus Album,album
Björk,1,2012,Best Recording Package,track
Black Eagle,1,2003,Best Native American Music Album,album
Black Keys,1,2010,Best Alternative Music Album,album
Black Pumas,1,2019,Best New Artist,artist
Black Sabbath,2,1999,Best Metal Performance,track
Black Uhuru,1,1984,Best Reggae Recording,track
Black:Guayaba,1,2007,Best Latin Rock Or Alternative Album,album
Blackstreet,1,1997,Best R&B Performance By A Duo Or Group With Vocal,track
Blackwood Brothers,5,1972,"Best Gospel Performance, Traditional",track
Blair Underwood,1,2008,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Blake Shelton,1,2019,Best Country Solo Performance,track
Blanton Alspaugh,1,2018,"Producer Of The Year, Classical",other
Blanton Alspaugh producer,1,2012,"Producer Of The Year, Classical",other
Blood,3,1969,Album Of The Year,album
Blues Traveler,1,1995,Best Rock Performance By A Duo Or Group With Vocal,track
Bob,1,1978,Best Instrumental Arrangement,other
Bob Carlisle,1,1997,Best Country Song,track
Bob Dixon,1,1959,Best Broadway Show Album,album
Bob Dylan,13,1997,Album Of The Year,album
Bob Dylan And The Band,1,2015,Best Historical Album,album
Bob James,2,1980,"Best Jazz Fusion Performance, Vocal Or Instrumental",track
Bob Mintzer Big Band,1,2001,Best Large Jazz Ensemble Album,album
Bob Moses,1,2016,Best Remixed Recording,track
Bob Newhart,3,1960,Album Of The Year,album
Bob Seger,2,1980,Best Album Package,album
Bob Wilber,1,1985,"Best Jazz Instrumental Performance, Big Band",track
Bob Wills,1,1974,Best Album Notes,album
Bobbie Gentry,5,1967,Best Arrangement Accompanying Vocalist(s) Or Instrumentalist(s),track
Bobby Bare,1,1963,Best Country & Western Recording,track
Bobby Brown,1,1989,"Best R&B Vocal Performance, Male",track
Bobby Darin,2,1959,Best New Artist Of 1959,artist
Bobby Hill,1,1972,Best Score From An Original Cast Show Album,album
Bobby Jones,1,1983,Best Soul Gospel Performance By A Duo Or Group,track
Bobby McFerrin,10,1988,"Best Jazz Vocal Performance, Male",track
Bobby Rush,2,2016,Best Traditional Blues Album,album
Bokanté,1,2019,Best World Music Album,album
Bologna Orchestra,1,1979,Best Classical Vocal Soloist Performance,track
Bon Iver,6,2019,Best Alternative Music Album,album
Bon Jovi,1,2006,Best Country Collaboration With Vocals,other
Bone Thugs-N-Harmony,1,1996,Best Rap Performance By A Duo Or Group,track
Bones UK,1,2019,Best Rock Performance,track
Bonnie Koloc,1,1986,Best Contemporary Folk Recording,track
Bonnie Raitt,11,1989,"Best Pop Vocal Performance, Female",track
Bonnie Scott,1,1961,Best Original Cast Show Album,album
Bono,4,2005,Best Rock Song,track
Bonobo,1,2019,Best Dance Recording,track
Booker T,1,1994,Best Pop Instrumental Performance,track
Booker T. Jones,2,2009,Best Pop Instrumental Album,album
Bootsy Collins,1,2001,Best Short Form Music Video,other
Boris Karloff,1,1967,Best Recording For Children,track
Boston Children's Chorus,1,2019,Best Opera Recording,track
Boston Early Music Festival Chamber Ensemble,2,2014,Best Opera Recording,track
Boston Early Music Festival Vocal Ensemble,2,2014,Best Opera Recording,track
Boston Modern Orchestra Project,1,2019,Best Opera Recording,track
Boston Symphony Orchestra,17,1963,Best Classical Performance - Orchestra,track
Bournemouth Symphony Chorus,1,1996,Best Choral Performance,track
Bournemouth Symphony Orchestra,1,1996,Best Choral Performance,track
Boys Noize,1,2019,Best Dance Recording,track
Boyz II Men,6,1994,Best R&B Performance By A Duo Or Group With Vocal,track
Boz Scaggs,1,1976,Best Rhythm & Blues Song,track
Brad Mehldau,1,2019,Best Jazz Instrumental Album,album
Brad Paisley,3,2008,Best Country Instrumental Performance,track
Bradley Cooper,4,2018,Best Song Written For Visual Media,track
Brandi Carlile,4,2018,Best American Roots Performance,track
Brandon Vamos,1,2008,Best Chamber Music Performance,track
Brandy,2,1998,Best R&B Performance,track
Branford Marsalis,2,1992,"Best Jazz Instrumental Performance, Individual Or Group",track
Branford Marsalis Quartet,2,2000,Best Jazz Instrumental Album,album
Brave Combo,2,1999,Best Polka Album,album
Brecker Brothers,1,1994,Best Contemporary Jazz Performance,track
Brendan O'Brien,1,2009,"Producer Of The Year, Non-Classical",other
Brent Mason,1,2008,Best Country Instrumental Performance,track
Brian Dembow,1,2001,Best Chamber Music Performance,track
Brian Eno,2,1992,Best Recording Package,other
Brian Lynch Big Band,2,2019,Best Instrumental Composition,album
Brian Wilson,1,2004,Best Rock Instrumental Performance,track
Bright Eyes,1,2007,Best Recording Package,track
Bring Me The Horizon,1,2019,Best Rock Album,album
Britney Spears,1,2004,Best Dance Recording,track
Brittany Howard,3,2019,Best Rock Song,track
Broken Heart,1,1987,"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",track
Brook Benton,1,1986,Best Historical Album,album
Brooklyn Tabernacle Choir,1,1993,Best Gospel Album By A Choir Or Chorus,album
Brooks,3,1993,Best Country Duo/Group Performance,track
Brothers Johnson,1,1977,Best R&B Instrumental Performance,track
Brothers Osborne,1,2019,Best Country Duo/Group Performance,track
Bruce Carroll,2,1990,Best Southern Gospel Album,album
Bruce Hornsby,3,1986,Best Bluegrass Recording,track
Bruce Springsteen,21,1994,Best Rock Song,track
Bruno Mars,12,2017,Record Of The Year,track
Bryan Adams,1,1991,Best Song Written Specifically For A Motion Picture Or For Television,track
Bryan Pinkall,1,2015,Best Choral Performance,track
Bryan Sutton,1,2006,Best Country Instrumental Performance,track
Bryan Taylor,1,2015,Best Choral Performance,track
Bryn Terfel,1,2006,Best Classical Crossover Album,album
Bryson Tiller,2,2019,Best R&B Performance,track
Buck Howdy,1,2009,Best Spoken Word Album For Children,album
Buckwheat Zydeco,1,2009,Best Zydeco Or Cajun Music Album,album
Bud,6,1967,"Best Engineered Recording, Classical",track
Buddy Guy,8,1991,Best Contemporary Blues Album,album
Buffalo Philharmonic Orchestra,1,2008,Best Classical Vocal Performance,track
Buju Banton,1,2010,Best Reggae Album,album
Bulgarian State Female Vocal Choir,1,1989,Best Traditional Folk Recording,track
Bunny Berigan,1,1982,Best Album Notes,album
Bunny Wailer,3,1990,Best Reggae Album,album
Burl Ives,1,1962,Best Country & Western Recording,track
Burna Boy,1,2019,Best World Music Album,album
Burning Spear,2,1999,Best Reggae Album,album
Burt Bacharach,4,1967,Best Instrumental Arrangement,other
Byron Webster,1,1965,Best Score From An Original Cast Show Album,album
Béla Fleck,14,2000,Best Contemporary Jazz Album,album
COUNTRY,1,2019,Best Contemporary Christian Music Album,album
Cachao,2,1994,Best Tropical Latin Album,album
Caetano Veloso,1,1999,Best World Music Album,album
Café Tacuba,1,2003,Best Latin Rock/Alternative Album,album
Cage The Elephant,2,2016,Best Rock Album,album
Cal Tjader,1,1980,Best Latin Recording,track
Calexico And Iron,2,2019,Best American Roots Performance,album
Calle 13,3,2007,"Best Latin Rock, Alternative Or Urban Album",album
Calvin Harris,1,2012,Best Short Form Music Video,other
Cameron Beauchamp,1,2013,Best Chamber Music/Small Ensemble Performance,track
Camila Cabello,1,2019,Best Pop Duo/Group Performance,track
Candlemass,1,2019,Best Metal Performance,track
Cannonball Adderley Quintet,1,1967,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group",track
Cannonball Adderly,2,1961,Best Instrumental Theme Or Instrumental Version Of Song,other
Captain,1,1975,Record Of The Year,track
Cardi B,2,2018,Best Rap Album,album
Caribbean Jazz Project,1,2002,Best Latin Jazz Album,album
Carl Jackson,1,1991,Best Bluegrass Album,album
Carl Perkins,1,1986,Best Spoken Word Or Non-Musical Recording,track
Carl Reiner,1,1998,Best Spoken Comedy Album,album
Carl Sandburg,1,1959,Best Performance - Documentary Or Spoken Word (Other Than Comedy),track
Carlo Maria Giulini,1,1964,Best Engineered Recording,track
Carlos Chavez,1,1964,Best Album Notes,album
Carlos Patato Valdés,1,2002,Best Traditional Tropical Latin Album,album
Carlos Santana,1,1988,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",track
Carlos Vives,2,2001,Best Traditional Tropical Latin Album,album
Carly Simon,3,1971,Best Album Package,album
Carmen Pelton,1,2005,Best Choral Performance,track
Carmen Twillie,1,1994,Best Instrumental Arrangement With Accompanying Vocals,other
Carol Burnett,1,2016,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
Carole King,4,1971,Album Of The Year,track
Carolina Chocolate Drops,1,2010,Best Traditional Folk Album,album
Caroline Hjelt,1,2016,Best Song Written For Visual Media,track
Caroline Shaw,1,2013,Best Chamber Music/Small Ensemble Performance,track
Caron Wheeler,1,1989,Best R&B Performance By A Duo Or Group With Vocal,track
Carpenters,3,1970,"Best Contemporary Vocal Performance By A Duo, Group Or Chorus",track
Carrie Fisher,1,2017,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
Carrie Underwood,10,2006,Best Country Song,track
Caspar Babypants,1,2019,Best Children's Music Album,album
Cassandra Wilson,2,1996,Best Jazz Vocal Album,album
Cast Members,1,1990,Best Musical Cast Show Album,album
Casting Crowns,1,2005,Best Pop/Contemporary Gospel Album,album
Catherine Russell,1,2019,Best Jazz Vocal Album,album
Cathy Fink And Marcy Marxer,1,2003,Best Musical Album For Children,album
CeCe,1,1991,Best Contemporary Soul Gospel Album,album
CeCe Winans,11,2005,Best Contemporary Soul Gospel Album,album
Cecil McBee,1,1988,"Best Jazz Instrumental Performance, Group",track
Cee Lo Green,3,2011,Best R&B Song,track
Celia Cruz,3,1989,Best Salsa Album,album
Celine Dion,7,1998,Album Of The Year,track
Cesaria Evora,1,2003,Best Contemporary World Music Album,album
Chaka Khan,11,1983,"Best R&B Vocal Performance, Female",track
Chamber Orchestra of Europe,1,2003,Best Classical Vocal Performance,track
Chamillionaire,1,2006,Best Rap Performance By A Duo Or Group,track
Chance The Rapper,4,2016,Best New Artist,track
Charles Braswell,1,1966,Best Score From An Original Cast Show Album,album
Charles Bruffy,3,2007,"Best Engineered Album, Classical",album
Charles Flores,1,2003,Best Latin Jazz Album,album
Charles Kuralt,2,1997,Best Spoken Word Album,album
Charles Laughton,1,1962,Best Documentary Or Spoken Word Recording (Other Than Comedy),track
Charles Munch,1,1961,Best Engineering Contribution - Classical Recording,track
Charles Nelson Reilly,1,1961,Best Original Cast Show Album,album
Charley Patton,3,2002,Best Album Notes,album
Charley Pride,4,1971,Best Country Song,track
Charlie Haden,3,1997,Best Latin Jazz Album,album
Charlie Haden Quartet West,1,1999,Best Instrumental Arrangement Accompanying Vocalist(s),other
Charlie McCoy,1,1972,Best Country Instrumental Performance,track
Charlie Musselwhite,1,2013,Best Blues Album,album
Charlie Parker,2,1979,Best Album Notes,album
Charlie Rich,3,1973,Best Country Song,track
Che Apalache,1,2019,Best Folk Album,album
Che Smith,1,2015,Best Song Written For Visual Media,track
Cheech,1,1973,Best Comedy Recording,track
Chente Barrera y Taconazo,1,2006,Best Tejano Album,album
Cher,1,1999,Best Dance Recording,track
Chet Atkins,14,1990,Best Country Instrumental Performance,track
Chicago,5,1976,Best Album Package,other
Chicago Sinfonietta,1,2019,"Producer Of The Year, Classical",other
Chicago Symphony Chorus,11,1977,Best Choral Performance (Other Than Opera),track
Chicago Symphony Orchestra,42,1979,Best Orchestral Performance,track
Chick Corea,15,1976,Best Instrumental Arrangement,track
Chick Corea Akoustic Band,1,1989,"Best Jazz Instrumental Performance, Group",track
Chick Corea Trio,1,2014,Best Jazz Instrumental Album,album
Chick Webb,2,1984,Best Album Notes,album
Chico Pinheiro,1,2019,Best Latin Jazz Album,album
Childish Gambino,5,2018,Best Music Video,track
Chip Davis Mannheim Steamroller,1,1991,Best New Age Album,album
Chips Moman,1,1986,Best Spoken Word Or Non-Musical Recording,track
Choeur Nationale De Paris,1,1967,Best Opera Recording,track
Choeurs Et Maitrise De Radio France,1,1984,Best Opera Recording,track
Chong,1,1973,Best Comedy Recording,track
Chor der Deutschen Staatsoper Berlin,1,2002,Best Opera Recording,track
Chorus,2,2014,"Best Engineered Album, Classical",album
Chorus De L'Orchestre Symphonie Montreal,1,1995,Best Opera Recording,track
Chorus Of Dutch National Opera,1,2019,Best Opera Recording,track
Chorus Of Opera De Lyon,1,1994,Best Opera Recording,track
Chorus Of Students And Alumni,1,2017,Best Opera Recording,track
Chorus of St. Martin-In-The-Fields,1,1981,Best Choral Performance (Other Than Opera),track
Chorus of the Royal Opera House,1,2003,Best Opera Recording,track
Choruses,1,2009,Best Surround Sound Album,album
Chris Botti,2,2005,Best Instrumental Arrangement Accompanying Vocalist(s),album
Chris Brown,2,2011,Best R&B Album,album
Chris Cornell,2,2018,Best Recording Package,track
Chris Martin,1,2008,Song Of The Year,track
Chris Perez Band,1,1999,Best Latin Rock/Alternative Performance,track
Chris Potter,1,2018,"Best Arrangement, Instruments and Vocals",other
Chris Rock,3,1997,Best Spoken Comedy Album,album
Chris Shiflett,1,2017,Best Rock Song,track
Chris Stapleton,6,2017,Best Country Album,track
Chris Thile,3,2012,Best Contemporary Instrumental Album,album
Chris Tomlin,2,2011,Best Contemporary Christian Music Album,album
Chrisette Michele,1,2008,Best Urban/Alternative Performance,track
Christian Hoff,1,2006,Best Musical Show Album,album
Christian McBride,2,2004,Best Instrumental Composition,album
Christian McBride Big Band,2,2011,Best Large Jazz Ensemble Album,album
Christian McBride’s New Jawn,1,2019,Best Jazz Instrumental Album,album
